"RowNumber","BreedName","ZipCode","Borough","cleaned_borough","supposed_borough","issued_year","expired_year"
24340,"Morkie",10002,"brooklyn","brooklyn","manhattan",2015,2016
24563,"Yorkshire Terrier Crossbreed",11520,"queens","queens",NA,2015,2016
24583,"American Pit Bull Mix / Pit Bull Mix",11694,"brooklyn","brooklyn","queens",2015,2016
24722,"Unknown",10502,"manhattan","manhattan",NA,2015,2016
24739,"American Pit Bull Terrier/Pit Bull",90802,"queens","queens",NA,2015,2016
25061,"Bull Dog, French",10101,"manhattan","manhattan",NA,2015,2019
25100,"Chihuahua",10454,"manhattan","manhattan","bronx",2015,2016
25213,"Catahoula Leopard Dog",10950,"manhattan","manhattan",NA,2015,2016
25351,"Miniature Pinscher",11001,"queens","queens",NA,2015,2016
25459,"Pug",10163,"manhattan","manhattan",NA,2015,2016
25731,"Shih Tzu",10008,"manhattan","manhattan",NA,2015,2016
25790,"Poodle, Toy",10151,"new york","unknown","manhattan",2015,2016
25979,"Shiba Inu",10016,"brooklyn","brooklyn","manhattan",2015,2016
26059,"Unknown",10021,"new york","unknown","manhattan",2015,2016
26164,"Labrador Retriever",10314,"brooklyn","brooklyn","staten",2015,2016
26571,"Dalmatian",11001,"queens","queens",NA,2015,2016
26577,"Labrador Retriever",11377,"manhattan","manhattan","queens",2015,2016
26656,"Chihuahua",11375,"brooklyn","brooklyn","queens",2015,2016
27063,"Maltese",11040,"queens","queens",NA,2015,2020
27105,"Shih Tzu",11040,"queens","queens",NA,2015,2016
27123,"Unknown",11050,"manhattan","manhattan",NA,2015,2016
27216,"Maltese",10705,"bronx","bronx",NA,2015,2016
27283,"Chihuahua",10156,"brooklyn","brooklyn",NA,2015,2016
27347,"Bullmastiff",11944,"manhattan","manhattan",NA,2015,2016
27378,"Pembroke Welsh Corgi",11944,"manhattan","manhattan",NA,2015,2016
27535,"American Staffordshire Terrier",8110,"manhattan","manhattan",NA,2015,2016
27588,"Chihuahua",11386,"queens","queens",NA,2015,2016
27658,"American Pit Bull Mix / Pit Bull Mix",10032,"new york","unknown","manhattan",2015,2016
27661,"German Shepherd Dog",11040,"queens","queens",NA,2015,2016
27935,"Beagle",11580,"queens","queens",NA,2015,2016
28162,"Bichon Frise",11005,"queens","queens",NA,2015,2016
28194,"French Bulldog",11550,"queens","queens",NA,2015,2017
28240,"Chihuahua",11550,"queens","queens",NA,2015,2017
28294,"Vizsla",91607,"brooklyn","brooklyn",NA,2015,2016
28628,"Australian Shepherd",11305,"queens","queens",NA,2015,2016
28766,"Rat Terrier",10457,"manhattan","manhattan","bronx",2015,2016
28840,"German Shepherd Dog",10512,"bronx","bronx",NA,2015,2016
28863,"American Pit Bull Mix / Pit Bull Mix",10475,"manhattan","manhattan","bronx",2015,2016
29019,"Unknown",11336,"queens","queens",NA,2015,2016
29288,"Maltipoo",11220,"queens","queens","brooklyn",2015,2016
29513,"American Pit Bull Terrier/Pit Bull",11378,"manhattan","manhattan","queens",2015,2016
