"row_number","breed_name","zip_code","borough","cleaned_borough","final_borough","issued_year","expired_year","pit_bull"
3761,"american pit bull terrier/pit bull",10307,"staten island","Staten Island","Staten Island",2015,2016,TRUE
3792,"bassett hound",10307,"staten island","Staten Island","Staten Island",2015,2017,FALSE
3799,"yorkshire terrier",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3807,"boxer",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3825,"labrador retriever",10308,"staten is","Staten Island","Staten Island",2015,2016,FALSE
3827,"cavalier king charles spaniel",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3831,"rottweiler",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3833,"chow chow",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3845,"american pit bull mix / pit bull mix",10312,"staten island","Staten Island","Staten Island",2015,2016,TRUE
3896,"german shepherd dog",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3916,"australian cattledog",10314,"staten island","Staten Island","Staten Island",2015,2019,FALSE
3927,"schnauzer, standard",10301,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3934,"chihuahua",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3963,"bulldog",10308,"staten island","Staten Island","Staten Island",2015,2016,FALSE
3971,"shih tzu",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4036,"labrador retriever crossbreed",10302,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4066,"unknown",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4081,"bichon frise",11106,"astoria","Queens","Queens",2015,2016,FALSE
4083,"miniature pinscher",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4085,"labrador retriever",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4092,"miniature pinscher",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4106,"unknown",10309,"staten is","Staten Island","Staten Island",2015,2016,FALSE
4130,"unknown",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4183,"unknown",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4188,"papillon",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4201,"labrador retriever crossbreed",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4236,"beagle",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4245,"scottish terrier",10309,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4249,"pomeranian",10308,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4292,"yorkshire terrier",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4304,"bull dog, english",10308,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4319,"boxer",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4327,"rottweiler",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4328,"unknown",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4329,"toy fox terrier",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4390,"chihuahua",10303,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4408,"bichon frise",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4411,"yorkshire terrier",10303,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4412,"maltese",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4442,"unknown",10308,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4451,"shih tzu",10312,"staten is","Staten Island","Staten Island",2015,2016,FALSE
4457,"labrador retriever crossbreed",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4463,"labrador retriever",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4480,"puggle",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4489,"jack russell terrier",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4529,"unknown",10309,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4542,"unknown",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4559,"cocker spaniel",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
4610,"jack russell terrier",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
