"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","pit_bull","zip_match","zip_code_imputed"
5045,2017-08-17,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan","10032",TRUE,TRUE,"10032"
5046,2017-08-27,"DOG","TERRIER MIX",8,"M",TRUE,"Manhattan","10012",FALSE,TRUE,"10012"
5047,2017-08-25,"DOG","Bull dog",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10013"
5048,2017-08-28,"DOG","Yorkshire Terrier",NA,"U",FALSE,"Manhattan","10069",FALSE,TRUE,"10069"
5049,2017-08-30,"DOG","Pit Bull",5,"M",TRUE,"Manhattan","10029",TRUE,TRUE,"10029"
5050,2017-08-28,"DOG","Pit Bull",4,"F",FALSE,"Manhattan","10032",TRUE,TRUE,"10032"
5051,2017-08-29,"DOG","Pit Bull",2,"M",FALSE,"Manhattan",NA,TRUE,NA,"10021"
5052,2017-08-30,"DOG","Bull Terrier",4,"M",TRUE,"Manhattan","10023",FALSE,TRUE,"10023"
5053,2017-08-30,"DOG","Siberian Husky",NA,"U",FALSE,"Manhattan","10023",FALSE,TRUE,"10023"
5054,2017-08-30,"DOG","Pit Bull",5,"M",FALSE,"Manhattan","10029",TRUE,TRUE,"10029"
5055,2017-08-31,"DOG","SHEPHERD",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10037"
5056,2017-08-22,"DOG","Weimaraner",2,"M",TRUE,"Manhattan","10025",FALSE,TRUE,"10025"
5057,2017-08-31,"DOG","Newfoundland",11,"M",TRUE,"Manhattan","10019",FALSE,TRUE,"10019"
5058,2017-08-31,"DOG","Mixed/Other",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10128"
5059,2017-09-02,"DOG","Maltese",7,"M",TRUE,"Manhattan","10009",FALSE,TRUE,"10009"
5060,2017-09-03,"DOG","American Pit Bull Mix / Pit Bull Mix",1,"F",FALSE,"Manhattan",NA,TRUE,NA,"10039"
5061,2017-09-03,"DOG","Pit Bull",NA,"M",TRUE,"Manhattan",NA,TRUE,NA,"10001"
5062,2017-09-05,"DOG","Cocker Spaniel",4,"M",TRUE,"Manhattan","10009",FALSE,TRUE,"10009"
5063,2017-09-02,"DOG","Yorkshire Terrier",13,"M",TRUE,"Manhattan","10033",FALSE,TRUE,"10033"
5064,2017-09-07,"DOG","Labrador Retriever",6,"M",TRUE,"Manhattan","10285",FALSE,TRUE,"10285"
5065,2017-09-08,"DOG","American Pit Bull Mix / Pit Bull Mix",3,"F",FALSE,"Manhattan","10009",TRUE,TRUE,"10009"
5066,2017-09-10,"DOG","Akita",6,"M",FALSE,"Manhattan","10031",FALSE,TRUE,"10031"
5067,2017-09-09,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan","10025",TRUE,TRUE,"10025"
5068,2017-07-12,"DOG","Bernese Mountain",6,"M",TRUE,"Manhattan",NA,FALSE,NA,"10011"
5069,2017-09-11,"DOG","COCKAPOO",10,"M",TRUE,"Manhattan",NA,FALSE,NA,"10128"
5070,2017-09-12,"DOG","Pomeranian",13,"M",TRUE,"Manhattan","10032",FALSE,TRUE,"10032"
