"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","pit_bull"
188,2015-04-28,"DOG","American Pit Bull Mix / Pit Bull Mix",1,"M",TRUE,"Brooklyn","11234",TRUE
189,2015-05-15,"DOG","Cocker Spaniel Crossbreed",NA,"M",FALSE,"Brooklyn","11205",FALSE
190,2015-05-18,"DOG","American Staffordshire Terrier",2,"M",FALSE,"Brooklyn","11211",FALSE
191,2015-05-18,"DOG","American Staffordshire Terrier",2,"M",FALSE,"Brooklyn","11211",FALSE
192,2015-01-08,"DOG","American Pit Bull Terrier/Pit Bull",1,"M",TRUE,"Brooklyn","11224",TRUE
193,2015-05-12,"DOG","Cane Corso",5,"F",TRUE,"Brooklyn","11233",FALSE
194,2015-05-05,"DOG","TERRIER",NA,"U",FALSE,"Brooklyn",NA,FALSE
195,2015-05-16,"DOG","BORDER COLLIE/JACK RUSSELL",11,"F",TRUE,"Brooklyn",NA,FALSE
196,2015-05-06,"DOG","CORGI",NA,"M",FALSE,"Brooklyn","11222",FALSE
197,2015-05-21,"DOG","Shih Tzu",NA,"U",FALSE,"Brooklyn","11229",FALSE
198,2015-05-20,"DOG","MUTT",1,"F",TRUE,"Brooklyn","11201",FALSE
199,2015-05-24,"DOG","MIXED",2,"M",TRUE,"Brooklyn",NA,FALSE
200,2015-05-24,"DOG","PIT BULL/LAB X",2,"F",FALSE,"Brooklyn","11236",TRUE
201,2015-05-24,"DOG","PIT BULL/LAB X",2,"F",FALSE,"Brooklyn","11236",TRUE
202,2015-05-24,"DOG","Labrador Retriever",NA,"U",FALSE,"Brooklyn","11215",FALSE
203,2015-05-25,"DOG","Labrador Retriever",3,"F",FALSE,"Brooklyn","11234",FALSE
204,2015-05-25,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
205,2015-05-23,"DOG","Mastiff, Tibetan",1,"M",TRUE,"Brooklyn","11214",FALSE
206,2015-05-23,"DOG","MALTESE MIX",4,"M",TRUE,"Brooklyn",NA,FALSE
207,2015-05-24,"DOG","SCHNAUZER",NA,"M",FALSE,"Brooklyn","11215",FALSE
208,2015-05-28,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn","11237",TRUE
209,2015-05-24,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn","11221",TRUE
210,2015-05-23,"DOG","American Pit Bull Mix / Pit Bull Mix",6,"M",TRUE,"Brooklyn","11205",TRUE
211,2015-05-28,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11213",TRUE
212,2015-05-28,"DOG","American Pit Bull Mix / Pit Bull Mix",3,"M",FALSE,"Brooklyn","11236",TRUE
213,2015-05-26,"DOG","Saint Bernard",NA,"U",FALSE,"Brooklyn","11214",FALSE
214,2015-05-28,"DOG","Chihuahua",NA,"U",FALSE,"Brooklyn","11208",FALSE
215,2015-05-30,"DOG","West High White Terrier",4,"M",FALSE,"Brooklyn","11224",FALSE
216,2015-05-30,"DOG","West High White Terrier",4,"M",FALSE,"Brooklyn","11224",FALSE
217,2015-05-31,"DOG","Chihuahua",1,"M",FALSE,"Brooklyn","11207",FALSE
218,2015-05-30,"DOG","Collie, Border",NA,"U",FALSE,"Brooklyn","11211",FALSE
219,2015-05-29,"DOG","Labrador Retriever Crossbreed",8,"F",TRUE,"Brooklyn","11229",FALSE
220,2015-05-31,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
221,2015-06-01,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11207",TRUE
222,2015-06-02,"DOG","Chow Chow",1,"M",FALSE,"Brooklyn","11233",FALSE
223,2015-06-02,"DOG","Doberman Pinscher",7,"M",TRUE,"Brooklyn","11228",FALSE
224,2015-06-01,"DOG","Yorkshire Terrier",2,"M",FALSE,"Brooklyn","11217",FALSE
225,2015-05-27,"DOG","TEACUP YORKIE",NA,"U",FALSE,"Brooklyn",NA,FALSE
226,2015-06-03,"DOG","SHORKY",8,"M",TRUE,"Brooklyn","11238",FALSE
227,2015-05-31,"DOG","HAVANESE X",4,"M",TRUE,"Brooklyn","11236",FALSE
228,2015-05-27,"DOG","BLUE HEELER X",9,"M",TRUE,"Brooklyn","11237",FALSE
229,2015-06-04,"DOG","Pit Bull",3,"F",TRUE,"Brooklyn","11226",TRUE
230,2015-06-04,"DOG","American Pit Bull Terrier/Pit Bull",4,"M",FALSE,"Brooklyn","11226",TRUE
231,2015-06-04,"DOG","Yorkshire Terrier",2,"M",TRUE,"Brooklyn","11214",FALSE
232,2015-06-06,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
233,2015-06-06,"DOG","Chow Chow",4,"M",FALSE,"Brooklyn","11234",FALSE
234,2015-06-05,"DOG","Lhasa Apso",5,"M",TRUE,"Brooklyn","11231",FALSE
235,2015-06-06,"DOG","Poodle, Standard",3,"M",TRUE,"Brooklyn","11234",FALSE
236,2015-06-07,"DOG","Pointer, German Shorthaired",8,"F",TRUE,"Brooklyn","11231",FALSE
237,2015-05-30,"DOG","SCHNOODLE",NA,"U",FALSE,"Brooklyn","11211",FALSE
238,2015-05-30,"DOG","Chow Chow",2,"M",FALSE,"Brooklyn","11208",FALSE
239,2015-06-05,"DOG","Yorkshire Terrier",NA,"U",FALSE,"Brooklyn","11221",FALSE
240,2015-06-10,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11237",TRUE
241,2015-06-09,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11213",TRUE
242,2015-06-10,"DOG","Cane Corso",2,"M",FALSE,"Brooklyn","11224",FALSE
243,2015-06-09,"DOG","ENGLISH SETTER",6,"M",FALSE,"Brooklyn",NA,FALSE
244,2015-06-09,"DOG","American Pit Bull Mix / Pit Bull Mix",2,"F",FALSE,"Brooklyn","11208",TRUE
245,2015-06-09,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11224",TRUE
246,2015-06-12,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11233",TRUE
247,2015-06-12,"DOG","Maltese",NA,"U",FALSE,"Brooklyn","11235",FALSE
248,2015-06-14,"DOG","TERRIER MIX",6,"M",TRUE,"Brooklyn",NA,FALSE
249,2015-06-14,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11208",TRUE
250,2015-06-13,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn",NA,TRUE
251,2015-06-14,"DOG","Jack Russ",3,"F",TRUE,"Brooklyn",NA,FALSE
252,2015-06-12,"DOG","Jack Russ",2,"M",TRUE,"Brooklyn","11235",FALSE
253,2015-06-12,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11216",TRUE
254,2015-06-16,"DOG","DOBERMAN X",1,"F",FALSE,"Brooklyn","11215",FALSE
255,2015-06-14,"DOG","American Eskimo",5,"M",TRUE,"Brooklyn","11230",FALSE
256,2015-06-19,"DOG","American Staffordshire Terrier",7,"F",TRUE,"Brooklyn","11233",FALSE
257,2015-06-18,"DOG","BOSTON TERR/BOXER X",NA,"U",FALSE,"Brooklyn","11228",FALSE
258,2015-06-07,"DOG","Chihuahua",3,"M",TRUE,"Brooklyn","11217",FALSE
259,2015-06-22,"DOG","Golden Retriever",12,"F",TRUE,"Brooklyn","11229",FALSE
260,2015-06-22,"DOG","MALTESE/CHIHUAHUA X",1,"M",FALSE,"Brooklyn","11217",FALSE
261,2015-06-21,"DOG","Chihuahua",NA,"U",FALSE,"Brooklyn",NA,FALSE
262,2015-06-19,"DOG","Pit Bull",5,"M",TRUE,"Brooklyn","11211",TRUE
263,2015-06-19,"DOG","Pit Bull",NA,"U",FALSE,"Brooklyn","11229",TRUE
264,2015-06-18,"DOG","American Pit Bull Terrier/Pit Bull",2,"M",TRUE,"Brooklyn","11235",TRUE
